rank	target_id	source_id	source_revision	source_lines	form	normalized	part_of_speech	flags	morphology	token_count	document_count	zipf	audit_flags	decision_status
1	e7f45468499f8239c1ce09667a910c270212f96b5e85a44214c3a8d71d16e981	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	9452	bo	bo	adp	P	po:adp;st:bo	6	6	7.78		pending
2	bc680c9114441698feafb4d541323c884a37b01208cd6d0e65e8dbe150cb25d6	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	16631	ez	ez	pronoun	B	po:pron;st:ez	4	4	7.61		pending
3	1d808995f121eda474a149ada961e4eadee5589e2022145c9e817345897a99a1	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	42118	çêkirin	çêkirin	noun_fem	F	po:noun_fem	2	2	7.31		pending
4	3a7e6da55d9ddcb404e8bbc1dd4a1cc0e0664cc621e74965c06218eab1fdab87	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	19141	hat	hat	verb	I	po:verb;is:past_stem_intransitive_active;st:hat;lem:hatin	2	2	7.31		pending
5	53c2b783ebce4cec806c3b6360524a240de08de1989ab9bd31655d41337e7149	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	30041	platform	platform	noun_fem	F	po:noun_fem	2	2	7.31		pending
6	9800fa78e11170f2f0c23ace9a80a2ab3503b25c6a0ef01b53c25eaf44099538	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	33117	rojbaş	rojbaş	intj	D	po:intj;st:roj	2	2	7.31		pending
7	98f786306a53f61b05892c6d99f90360a39de7bca6f837b64ed20b8af1f93d17	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	16451	ev	ev	pronoun	B	po:pron;st:ev	2	2	7.31		pending
8	b152c8ac14c1bb12d3c82c9560db1e32fdd71cdeeb4e1cb89e3d71fd403c8a1d	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	40267	yî	yî	verb	W	po:verb;is:present_copula_2sg;st:yî;lem:bûn	2	2	7.31		pending
9	17c97b9a473281bbf7a3afb8e0eba4a6ebf96c7c6db8a9b8547e663661af9c1f	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	38564	werin	werin	verb	W	po:verb;is:come_imp_2pl;st:wer;lem:hatin	1	1	7.00		pending
10	21f108afff4787f2f22743bc0d4362bd2ed3201e850c837e70f05bd4d2bed975	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	39745	xwe	xwe	pronoun	B	po:pron;st:xwe	1	1	7.00		pending
11	2c57998838301bb7495538223a2565e094222b2ada9a598849d2db0cd14d0d62	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	14557	dewlemend	dewlemend	adjective	AN	po:adj	1	1	7.00		pending
12	392085de28e0d997cf859f4065953b0f40e392ed6b1038080a4733fd30235140	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	30547	pêş	pêş	adverb	R	po:adv	1	1	7.00		pending
